INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182028403,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,229,,2018-03-26 14:30:00,2018,3,Monday,14,Part One,E FIFTH ST,42.3338525,-71.04071124,"(42.33385250, -71.04071124)"
I182028394,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,319,Y,2018-04-16 13:02:00,2018,4,Monday,13,Part One,BLUE HILL AVE,42.30711484,-71.08425151,"(42.30711484, -71.08425151)"
I182028383,2629,Harassment,HARASSMENT,B2,293,,2018-04-16 11:00:00,2018,4,Monday,11,Part Two,JUNIPER ST,42.32467226,-71.08922358,"(42.32467226, -71.08922358)"
I182028376,617,Larceny,LARCENY THEFT FROM BUILDING,C11,334,,2018-04-14 00:00:00,2018,4,Saturday,0,Part One,HOWE ST,42.31136188,-71.0644231,"(42.31136188, -71.06442310)"
I182028369,2629,Harassment,HARASSMENT,B2,324,,2018-04-16 10:33:00,2018,4,Monday,10,Part Two,DANUBE ST,42.31743922,-71.07547845,"(42.31743922, -71.07547845)"
I182028365,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,D4,619,,2018-04-16 10:32:00,2018,4,Monday,10,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182028364,2629,Harassment,HARASSMENT,B2,300,,2018-04-16 10:25:00,2018,4,Monday,10,Part Two,HIGHLAND ST,42.32493071,-71.0932555,"(42.32493071, -71.09325550)"
I182028362,301,Robbery,ROBBERY - STREET,B3,466,,2018-04-14 01:00:00,2018,4,Saturday,1,Part One,DEERING RD,42.28414025,-71.09305138,"(42.28414025, -71.09305138)"
I182028360,613,Larceny,LARCENY SHOPLIFTING,A1,106,,2018-04-13 12:00:00,2018,4,Friday,12,Part One,FEDERAL ST,42.35380161,-71.05620401,"(42.35380161, -71.05620401)"
I182028349,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,145,,2018-04-15 17:00:00,2018,4,Sunday,17,Part One,HUNTINGTON AVE,42.34481182,-71.08234324,"(42.34481182, -71.08234324)"
I182028348,2629,Harassment,HARASSMENT,B2,324,,2018-04-16 08:03:00,2018,4,Monday,8,Part Two,DANUBE ST,42.31743922,-71.07547845,"(42.31743922, -71.07547845)"
I182028336,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,331,,2018-04-16 01:17:00,2018,4,Monday,1,Part Two,COLUMBIA RD,42.31236298,-71.06890381,"(42.31236298, -71.06890381)"
I182028333,361,Robbery,ROBBERY - OTHER,A1,101,,2018-04-16 02:27:00,2018,4,Monday,2,Part One,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
I182028333,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,101,,2018-04-16 02:27:00,2018,4,Monday,2,Part Two,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
I182028326,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A15,900,,2018-04-16 01:43:00,2018,4,Monday,1,Part One,BUNKER HILL ST,42.37736388,-71.05791376,"(42.37736388, -71.05791376)"
I182028324,371,Robbery,ROBBERY - HOME INVASION,B3,408,,2018-04-16 00:29:00,2018,4,Monday,0,Part One,TEMPLE ST,42.27327428,-71.07251356,"(42.27327428, -71.07251356)"
I182028322,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,123,,2018-04-16 00:17:00,2018,4,Monday,0,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
